dewtemp,MSL,Q_1000,Q_850,Q_925,R_1000,R_850,R_925,T_1000,T_850,T_925,temperature,uv_10m,time,visia
-3.76,1030.64,2.01,0.9,1.39,41.63,33.13,37.25,3.29,-6.45,-1.37,4.34,3.2,2015121608,5559
-7.14,1030.76,1.67,1.3,1.59,32.13,54.25,44.25,4.34,-7.78,-1.83,7.25,5.4,2015121611,9121
-7.37,1029.16,1.65,1.59,1.6,30.75,67,43,4.84,-7.83,-1.33,7.44,5.4,2015121614,9868
-8.05,1030.84,1.66,1.49,1.52,32.5,65.25,42.63,4.06,-8.36,-1.94,4.75,3.25,2015121617,17145
-6.81,1032.92,1.64,1.4,1.54,34.13,61.75,45,3.22,-8.47,-2.47,2.67,2.43,2015121620,16861
-7.32,1033.84,1.74,1.25,1.33,40.25,61.75,43.13,1.68,-9.66,-3.84,1.95,3.26,2015121623,15865
-9.72,1034.16,1.48,0.64,1.12,39.13,33.63,41.38,-0.11,-10.33,-5.41,0.55,3.86,2015121702,15075
-10.09,1034.53,1.36,0.39,1.03,38.75,21.25,41.38,-1.14,-10.6,-6.48,-0.9,2.95,2015121705,16316
-8,1036.25,1.33,0.29,0.9,39,16.13,36.75,-1.51,-10.77,-6.63,0.11,3.3,2015121708,16846
-10.4,1036.65,1.22,0.25,1.16,31.63,12.88,45.5,0.06,-9.55,-6.07,3.6,4.96,2015121711,16210
-8.9,1033.88,1.45,0.44,1.4,33.55,19.5,47.72,1.71,-8.11,-4.43,4.83,3.83,2015121714,18047
-6.67,1033.72,1.58,0.26,1.49,36.38,10.13,49.75,1.76,-6.92,-4.15,1.32,1.9,2015121717,16485
-5.27,1035.43,1.53,0.09,1.39,36.32,3.13,46.42,1.45,-4.51,-4.04,-0.41,2.58,2015121720,14666
-5.8,1035.21,1.55,0.05,1.34,38.25,1.5,46.25,0.92,-2.24,-4.5,1.31,1.07,2015121723,14352
-5.06,1034.08,1.61,0.06,1.39,41.63,1.38,49.88,0.51,-0.03,-5.02,0.33,1.06,2015121802,11076
-4.41,1034.56,1.65,0.05,1.41,43.75,1.13,52,0.09,-0.88,-5.29,-0.51,0.74,2015121805,9369
-4.18,1036.52,1.65,0.05,0.67,45.44,1.25,19.83,-0.61,-2.32,-2.97,-0.7,1.27,2015121808,8516
-5.73,1036.05,1.92,0.06,0.43,46.75,1.38,11.38,1.11,-0.16,-1.5,4.39,0.6,2015121811,8533
-5.17,1033.33,2.02,0.09,0.88,40.63,2.5,23.25,3.74,0.68,-0.68,6.48,1.04,2015121814,10166
-3.43,1033.47,2.19,0.11,0.6,43.98,2.5,15.2,3.61,0.72,0.5,2.23,2.29,2015121817,6167
-3.68,1034.67,2.11,0.09,0.93,41.71,1.67,22.46,3.74,0.7,1.11,1.16,2.61,2015121820,7968
-3.16,1035.09,2.76,0.12,2.27,57.63,2.5,54,3.32,0.82,0.38,1.96,1.36,2015121823,6462
-2.25,1034.28,3.49,0.29,2.58,73.13,5.75,61.13,3.19,1.25,0.39,0.77,1.36,2015121902,4580
-1.46,1034.01,3.73,0.66,2.88,78,13.38,67.5,3.22,1.33,0.55,0.45,1.16,2015121905,4733
-0.31,1034.48,3.75,1.1,3.15,78.5,22.5,68.63,3.22,1.42,1.54,0.92,0.73,2015121908,4145
3.3,1034.69,4.22,1.52,3.38,75.25,32.63,69.5,5.38,0.82,2.37,8.41,0.28,2015121911,4097
4.05,1030.83,4.62,1.42,3.87,71.75,26.38,75.25,7.43,2.27,3.05,9.34,2.64,2015121914,3606
4.76,1031.44,4.93,2.24,4.39,77.12,43.5,79.22,7.35,1.72,4.15,8.11,1.95,2015121917,3735
4.31,1031.13,4.74,2.89,4.41,72.05,51.13,74.13,7.85,3.26,5.18,7.23,1.78,2015121920,6249
4.73,1030.35,4.84,3.9,4.38,73.14,68.5,72.24,7.99,3.38,5.43,8.01,1.1,2015121923,1693
5.33,1029.37,4.96,4.09,4.28,75.74,72.75,68.25,7.8,3.16,5.92,6.87,0.8,2015122002,1080
4.91,1028.53,5.07,4.42,4.4,78.75,75.5,69.38,7.59,3.71,6.08,5.9,0.91,2015122005,838
6.28,1028.94,5.53,4.91,4.82,91.25,82.88,79.75,6.75,3.88,5.37,6.85,0.83,2015122008,979
7.49,1028.21,6.01,5.31,5.1,95.56,85.5,80.34,7.09,4.55,6.1,8.93,0.4,2015122011,1407
7.8,1025.39,6.26,5.55,5.27,93.41,86.5,79.96,8.06,5,6.65,9.55,0.92,2015122014,1864
7.87,1025.99,6.26,5.53,5.32,95.07,86,82.58,7.74,5.06,6.36,8.58,1.36,2015122017,1192
7.09,1027.36,5.92,5.55,5.37,95,83.88,85.23,6.97,5.43,6.01,7.79,1.98,2015122020,1238
5.5,1027.74,5.41,5.29,5.28,94.26,74.13,83.19,5.75,6.54,6.1,6.15,1.45,2015122023,1210
4.24,1028.09,5,5.32,5.34,94.81,74.16,92.7,4.56,6.63,4.71,4.83,1.4,2015122102,2370
3.68,1028.24,4.79,5.28,5.24,94.7,74.61,97.18,3.98,6.48,3.8,4.15,1.2,2015122105,1214
3.71,1029.72,4.6,5.46,5.01,96.31,77.19,96.4,3.13,6.39,3.25,4.49,0.98,2015122108,2483
4.54,1029.52,4.86,5.57,5.07,90.1,73.5,89.9,4.83,7.45,4.42,7.39,1.14,2015122111,2089
5.64,1026.69,5.31,5.64,5.34,80.88,73.63,83.88,7.67,7.58,6.06,9.97,1.36,2015122114,2170
5.45,1026.98,5.38,5.66,5.38,80.63,74.13,80.13,7.88,7.52,6.94,8.41,1.64,2015122117,1663
4.64,1027.47,5.16,5.78,6.13,83.51,70.88,80.17,6.85,8.49,8.8,5.95,1.9,2015122120,1403
4.53,1027.34,5.28,6.2,7.16,88.6,75.45,86.63,6.42,8.62,9.95,5.81,1.32,2015122123,1419
4.64,1026.38,5.39,7.21,7.78,87.59,84.54,88.49,6.87,9.15,10.83,5.37,0.75,2015122202,1338
4.37,1025.13,5.57,7.46,7.97,82.68,83.46,83.6,8.3,9.83,12.09,4.89,1.32,2015122205,1089
5.86,1024.81,6.19,7.83,8.17,82.72,86.01,75.67,9.82,10.09,13.95,7.35,1.06,2015122208,1386
9.94,1025.11,7.16,8.18,7.95,81.8,92.04,84.67,11.95,9.77,11.87,13.85,0.84,2015122211,2419
10.69,1022.61,7.71,8.24,7.88,82.01,93.99,85.93,13.01,9.56,11.48,14.22,1.63,2015122214,2249
11.07,1022.28,7.64,7.79,7.86,84.61,86.5,87.78,12.44,9.97,11.16,13.07,0.69,2015122217,1313
10.2,1022.98,7.5,8.1,7.93,89.57,90.88,88.23,11.41,9.85,11.14,11.09,0.93,2015122220,713
9.58,1022.91,7.35,7.6,7.83,93.05,84.38,94.12,10.54,9.95,9.97,10.22,1.72,2015122223,577
9.05,1022.5,6.98,7.73,7.69,94.67,94.89,98.17,9.48,8.48,9.11,9.99,2.45,2015122302,609
8.34,1022.37,6.64,7.79,7.36,95.73,96.23,96.83,8.54,8.34,8.7,9.36,2.79,2015122305,481
7.6,1024.29,6.28,6.95,6.68,94.99,97.29,92.92,7.79,6.5,7.85,8.74,1.77,2015122308,798
7.43,1024.18,6.25,6.83,6.04,91.88,97,86.13,8.19,6.42,7.54,9.9,2.23,2015122311,932
7.59,1021.97,6.26,6.75,5.94,84.88,94.25,84.75,9.4,6.55,7.54,11.02,2.19,2015122314,996
7.22,1021.98,6.18,6.41,5.93,84.45,90.63,84.81,9.28,6.4,7.52,10.19,2.06,2015122317,976
6.88,1022.32,6.01,6.6,5.96,88.63,91.75,85,8.18,6.61,7.52,8.78,1.82,2015122320,814
6.94,1021.73,6.08,7.02,6.14,92.32,94.78,90.16,7.77,7.17,7.11,8.6,1.24,2015122323,758
7.68,1021.33,6.26,7.25,6.37,95.18,98.65,98.33,7.74,6.99,6.37,8.48,1.69,2015122402,533
8.32,1021.38,6.58,7.08,6.29,99.74,99.75,99.93,7.78,6.49,5.93,8.71,1.58,2015122405,400
9.05,1022.37,6.85,6.87,6.42,100,97.85,99.24,8.35,6.29,6.38,9.28,1.64,2015122408,764
9,1023.16,6.89,6.36,6.11,99.16,97.83,99.16,8.51,5.25,5.67,9.83,2.88,2015122411,968
8.77,1022.04,6.71,5.75,5.85,97.59,97.45,98.55,8.39,3.84,5.14,9.55,3.43,2015122414,1271
8.33,1023.8,6.52,5.1,5.55,97.94,97.25,98.72,7.88,2.19,4.37,9.01,2.71,2015122417,2154
8.15,1025.68,6.44,4.59,4.98,98.09,100.01,92.51,7.69,0.3,3.69,8.78,3.02,2015122420,2147
7.61,1026.61,6.15,4.41,4.41,97.79,99.05,87.47,7.08,-0.12,2.79,8.28,2.88,2015122423,1778
7.36,1026.93,6.04,4.17,4.59,98.71,94.8,95.22,6.66,-0.3,2.23,7.92,2.96,2015122502,1196
6.83,1026.36,5.81,3.99,4.69,98.25,89.75,98.75,6.21,-0.1,1.94,7.43,2.42,2015122505,1531
6.84,1027.61,5.74,3.76,4.77,95.38,90.5,99.25,6.38,-1.06,2.11,7.85,2.21,2015122508,979
5.92,1027.47,5.37,3.54,4.73,85.25,88,97.5,7.09,-1.34,2.28,9.28,3.05,2015122511,1322
4.6,1025.08,4.99,3.02,4.55,70,72.25,86.75,8.92,-0.69,3.34,10.78,1.49,2015122514,5835
5.34,1024.74,5.06,2.18,4.28,68.75,50.38,76,9.46,-0.21,4.3,8.07,2.08,2015122517,3315
4.21,1024.93,5,0.94,4.3,69.88,19.63,77.25,9.08,0.83,4.22,5.69,2.4,2015122520,1744
3.32,1024.98,4.89,0.44,3.06,70.5,9,51.63,8.69,1.55,4.73,4.74,2.12,2015122523,2614
2.05,1024.35,4.93,0.38,1.86,74.76,7,30.25,8.11,2.18,5.44,3.06,2.46,2015122602,752
1.09,1023.23,4.96,0.42,1.79,79.25,7.88,29.75,7.28,1.73,5.27,1.44,2.38,2015122605,340
3.66,1024.69,4.91,0.39,1.48,86.25,6.75,25.63,6.06,2.22,4.86,4.11,2.44,2015122608,2884
5.1,1024.77,4.89,0.49,1.62,70.75,9.13,26.88,8.37,2.95,5.4,10.98,2.79,2015122611,6360
3.7,1022.04,4.29,0.52,3.24,50.5,9,51.76,11.48,3.95,5.78,13.41,1.84,2015122614,8301
4.7,1022.76,4.51,0.48,3.31,52.36,7.88,50.68,11.85,4.33,6.54,10.7,1.99,2015122617,7936
4.82,1023.38,4.65,0.65,2.77,59.58,10.25,40.04,10.69,5.07,7.47,7.14,2.39,2015122620,7079
3.59,1024.6,4.42,0.81,2.4,57.22,13.38,33.88,10.44,4.38,8.09,4.91,2.08,2015122623,6683
4.33,1024.83,4.23,0.88,2.22,55.07,14.88,30.49,10.27,3.87,8.21,6.24,1.35,2015122702,7170
4.19,1025.47,4.11,1.03,2.74,56.11,18.88,41.87,9.45,2.68,6.53,6.36,0.89,2015122705,7530
4.33,1028.1,4.14,1.47,3.45,60.08,29.75,57.88,8.47,1.2,5.25,7.67,1.67,2015122708,5965
5.02,1030.01,4.83,1.67,3.61,69.57,35.13,64,8.57,0.64,4.48,11.17,3.48,2015122711,3772
5.73,1028.69,5.11,2.19,4.67,69.73,49,88.04,9.37,-0.1,3.44,12.06,3.42,2015122714,2185
5.87,1031.08,5.32,3.71,4.9,76.76,93.75,94.43,8.61,-1.6,3.27,9.8,4.24,2015122717,3421
4.22,1034.01,4.92,3.53,4.51,84.88,93.63,99.72,5.85,-2.3,1.3,7.86,4.17,2015122720,5242
2.49,1035.44,4.35,2.96,4.13,83.93,85,99.5,4.26,-3.39,0.16,6.46,3.42,2015122723,5610
1.02,1035.65,3.88,1.86,3.64,81.41,55.13,91.13,3.04,-3.67,-0.4,5.17,2.37,2015122802,5883
0.68,1035.53,3.63,1.46,3.34,81.4,38.88,87.38,2.12,-2.2,-1.06,3.73,2.08,2015122805,7635
0.99,1037.13,3.56,1.32,3.26,81.26,31.88,87.25,1.88,-0.72,-1.27,4.18,2.33,2015122808,8746
0.43,1037.85,3.45,1.37,3.29,70.13,32.51,95,3.56,-0.63,-2.34,7.11,2.92,2015122811,7937
-0.33,1035.1,3.33,1.36,3.31,61.77,31.77,88.57,4.84,-0.04,-1.33,7.93,3.31,2015122814,6647
-1.76,1035.24,3.03,1.31,2.99,58.11,29.17,80.17,4.29,0.52,-1.48,6.07,3.16,2015122817,5756
-0.84,1036.51,2.94,1.44,2.84,60.13,32.65,78.56,3.37,-0.03,-1.79,3.58,1.72,2015122820,4997
0.05,1036.8,3.03,1.46,2.92,63.59,32.25,82.94,3.11,0.24,-2.12,2.92,1.6,2015122823,5294
-0.04,1035.46,3.3,1.27,2.74,73.18,24.92,78.79,2.37,1.85,-2.18,2.66,1.82,2015122902,4790
-0.05,1034.62,3.39,1.34,2.82,77.14,28,82.17,1.99,0.92,-2.31,1.98,1.63,2015122905,4377
0.82,1035.68,3.61,1.45,2.59,83.42,29.62,70.84,1.83,1.4,-1.38,2.94,0.57,2015122908,4433
1.43,1035.1,3.66,1.59,2.37,71.73,33.01,57,4.06,1.4,0.41,7.37,1.15,2015122911,4548
2.28,1031.11,3.88,1.55,3.68,62.38,31.38,84,6.95,1.81,0.9,9.6,1.22,2015122914,6053
2.86,1030.67,4.14,1.51,3.54,66.79,29.22,73.51,6.91,2.08,2.26,6.98,2.02,2015122917,4592
2.87,1031.47,4.38,1.42,3.25,78.09,27.25,60.66,5.5,2.32,3.76,4.31,2.09,2015122920,3584
3.45,1031.17,4.49,1.61,3.17,79.51,29.3,55.63,5.66,2.84,4.6,5.28,0.6,2015122923,3253
3.17,1030.42,4.45,1.89,3.25,77.62,35.13,56.91,5.92,2.71,4.61,3.78,1.08,2015123002,2669
2.16,1030.21,4.25,1.99,2.95,71.46,38.59,51.57,6.46,1.96,4.65,2.28,1.58,2015123005,2482
2.85,1031.08,4.22,1.92,3.19,72.28,37.16,58.62,6.15,2.02,3.94,3.24,1.35,2015123008,1968
4.42,1031.29,4.49,1.82,3.1,69.25,34.42,56.72,7.68,2.26,4.02,10.27,1,2015123011,3044
4.53,1028.97,4.52,1.77,4.42,58.5,33.5,80.75,10.21,2.43,3.97,12.57,1.38,2015123014,4815
4.43,1029.49,4.65,1.81,4.39,59.13,35.25,75.75,10.46,2.04,4.74,10.57,1.44,2015123017,4798
3.88,1031.27,4.54,1.27,3.69,61.46,26.4,62.76,9.61,0.98,5.1,6.28,2.59,2015123020,3855
2.44,1032.66,4.27,0.72,2.35,65.63,14.88,40.88,7.65,1.14,4.32,5.09,2.66,2015123023,3312
1.9,1033.18,4.07,0.51,2,71.88,10.5,38.75,5.61,1.41,2.9,4.13,2.74,2015123102,2883
0.98,1033.77,3.99,0.31,1.33,82,6.25,29,3.46,1.59,1.53,2.27,2.21,2015123105,1828
2,1036.19,4.03,0.3,2,86.5,6.38,49,2.85,0.56,-0.14,3.76,1.99,2015123108,1638
1.5,1036.86,3.64,0.43,2.35,68.5,9,58.38,4.71,1.15,-0.54,8.26,2.77,2015123111,2192
0.82,1034.29,3.42,0.54,3.32,55.88,11.25,77.63,6.68,1.11,0.48,9.82,2.54,2015123114,2961
0.55,1034.75,3.23,0.6,2.5,53.05,11.91,57.64,6.54,1.19,0.94,6.34,1.96,2015123117,3056
-0.22,1035.71,3.14,0.58,1.86,55.81,11.31,41.93,5.5,1.54,1.39,3.08,2.49,2015123120,2578
-0.02,1035.58,3.24,0.46,2.03,59.88,8.63,47.25,5.03,2.27,0.87,3.96,1.37,2015123123,2185
0.74,1033.87,3.8,0.35,1.58,76,6,33.75,3.87,3.43,2.02,2.95,1.61,2016010102,1750
0.86,1032.93,3.82,0.33,1.31,78.38,5.5,26.63,3.44,4.29,2.87,1.92,1.76,2016010105,1081
3.76,1025.32,4.05,4.7,4.37,50.73,70.52,57,10.86,5.61,8.9,7.42,2.15,2016010208,2326
6.22,1024.77,5.1,4.61,4.52,55.37,66.46,58.09,12.71,6.17,9.15,14.85,2.3,2016010211,3576
7.34,1021.51,5.58,4.86,5.18,50.64,65.85,65.24,15.52,7.01,9.35,17.07,1.85,2016010214,5628
8.2,1021.51,5.83,4.87,5.48,51.5,66.31,64.93,15.88,7,10.29,13.36,1.95,2016010217,7025
6.9,1022.07,5.75,5.04,5.48,53.78,69.88,62.72,15.26,6.69,10.75,10.76,1.77,2016010220,5030
6.52,1022.03,5.9,5.59,5.6,59.99,76.16,64.11,14.1,7.06,10.8,9.27,0.77,2016010223,4331
6.17,1020.77,5.99,6.29,5.71,66.79,82.43,63.67,12.53,7.56,11.16,7.65,0.81,2016010302,3666
6.87,1021.57,6.06,6.61,6.11,75.73,95.79,76.99,10.74,6.05,9.36,9.01,1.85,2016010305,3309
8.68,1022.4,6.54,7.08,6.54,77.08,97.37,76.16,11.68,6.81,10.48,10.15,1.2,2016010308,1905
11.24,1022.09,7.72,6.87,6.8,76.35,89.33,75.7,14.19,7.62,11.22,15.91,0.78,2016010311,3143
12.43,1019.3,8.24,6.8,7.78,66.82,86.19,85.99,17.3,7.93,11.29,18.59,0.45,2016010314,3947
12.7,1019.74,8.57,6.97,7.89,69.88,92.5,80.88,17.25,7.39,12.4,15.8,1.96,2016010317,3393
10.75,1020.95,8.35,6.65,7.92,76.5,80.04,79.13,15.45,8.7,12.92,12.01,2.07,2016010320,2317
10.11,1021.03,8.14,6.61,7.78,82.16,78.61,76.57,13.94,8.91,13.11,11.17,1.19,2016010323,2241
9.52,1020.32,8.02,7.38,7.79,88.8,90.95,75.87,12.65,8.51,13.25,9.85,0.87,2016010402,1806
9.1,1019.97,7.61,7.56,8,92.63,93.75,80.63,11.23,8.36,12.75,9.23,1.02,2016010405,587
10.15,1021.23,7.57,7.67,8.24,90.56,93.13,85.17,11.36,8.62,12.31,10.71,1.03,2016010408,485
11.52,1021.69,8.31,7.75,8.26,94.27,97.5,90.68,11.98,8.12,11.44,13.43,1.38,2016010411,593
11.67,1019.54,8.33,7.44,8.21,95.61,90.86,88.13,11.9,8.55,11.75,12.71,1.43,2016010414,447
11.68,1019.86,8.28,7.43,8.24,97.67,90.65,92.26,11.49,8.56,11.09,12.39,2.23,2016010417,527
11.66,1020.96,8.3,7.36,8.02,99.91,88.4,91.5,11.21,8.82,10.78,12.03,1.37,2016010420,1073
11.74,1020.58,8.28,6.6,8.06,99.96,76.48,91.77,11.2,9.27,10.85,12.05,0.63,2016010423,511
11.67,1018.8,8.27,7.46,8.28,99.95,83.19,88.54,11.19,9.89,11.79,11.79,1.21,2016010502,114
11.34,1018.39,8.11,8.47,8.47,100,96.5,94.75,10.86,9.5,11.08,11.41,1.83,2016010505,952
8.98,1022.53,6.91,7.38,6.3,99.76,99.84,100.08,8.49,7.04,5.95,9.54,5.77,2016010508,11600
6.91,1024.28,5.92,6.63,5.7,93.64,98.45,98.49,7.12,5.64,4.8,8.87,3.51,2016010511,4054
6.73,1022.27,5.9,6.22,5.29,87.94,97.23,99.58,7.98,4.89,3.48,9.68,3.4,2016010514,2822
7.24,1023.45,5.99,5.98,5.28,89.66,96.34,99.81,7.94,4.55,3.45,9.04,3.55,2016010517,1936
6.9,1025.25,5.83,5.65,5.25,91.75,98,99.5,7.21,3.52,3.45,8.35,3.09,2016010520,3177
6.88,1025.59,5.85,5.5,5.28,93.49,98.25,99.86,6.96,3.08,3.46,8.29,3.13,2016010523,1254
6.63,1024.35,5.76,5.56,5.42,93.19,97.59,100.02,6.78,3.32,3.82,8.01,3.14,2016010602,1970
6.18,1024.58,5.55,5.72,5.42,92.86,99.64,99.91,6.26,3.44,3.8,7.48,2.78,2016010605,2115
6.12,1027.47,5.43,5.69,5.09,93.86,99.77,99.76,5.81,3.31,2.91,7.36,2.46,2016010608,3222
5.5,1027.99,5.33,5.6,4.86,91.47,99.48,99.25,5.96,3.18,2.39,8.05,3.18,2016010611,3377
5.01,1026.11,5.24,5.41,4.74,86.25,97.88,98.25,6.55,2.9,2.17,8.53,2.61,2016010614,3813
4.77,1027.24,5.13,5.13,4.67,84.68,97.13,96.17,6.5,2.23,2.24,8.2,2.22,2016010617,3355
5.09,1028.87,5.08,4.58,4.37,85.07,96.23,89.98,6.3,0.79,2.34,7.8,1.9,2016010620,2806
5.03,1029.4,4.96,4.09,4.24,84.05,91.48,90.11,6.09,-0.04,1.91,7.35,1.62,2016010623,3163
5.06,1028.88,5.02,3.91,4.39,88.29,94.34,96.19,5.63,-1.05,1.42,6.95,1.78,2016010702,2944
5.2,1028.39,5.05,3.51,4.4,90.67,88.97,97.79,5.28,-1.72,1.23,6.38,1.17,2016010705,2142
5.54,1029.89,5.06,3.36,4.48,89.24,92.86,98.19,5.56,-2.9,1.4,7.25,1.63,2016010708,2441
4.75,1029.53,4.86,3.35,4.38,78.5,94.13,95.63,6.82,-2.9,1.41,9.37,1.82,2016010711,3222
3.77,1026.9,4.58,3.65,4.38,68.38,98,91.13,8.03,-2.5,2.06,10.03,1.66,2016010714,2861
3.91,1027.23,4.72,3.65,4.29,71.75,98.63,89,7.66,-2.57,2.11,9.01,2.73,2016010717,2773
3.68,1027.59,4.72,3.63,4.33,81.12,97,94.88,5.86,-2.31,1.44,7.29,3.08,2016010720,2280
3.65,1027.83,4.59,3.62,4.16,84.81,98.04,99.85,4.89,-2.51,0.21,6.54,2.89,2016010723,1405
2.87,1028.02,4.29,3.47,3.82,87.38,96.68,99.13,3.5,-2.91,-0.9,5,3.18,2016010802,1790
2,1027.69,4.06,3.46,3.36,88.98,94.64,89.98,2.53,-2.7,-1.28,4.26,2.35,2016010805,4912
2.1,1029.08,3.97,3.3,3.08,88.82,91.15,82.11,2.21,-2.84,-1.35,3.99,2.08,2016010808,3977
1.15,1029.34,3.72,3.05,3.41,74.57,85.59,94.89,3.71,-2.98,-1.95,6.71,2.55,2016010811,4143
0.22,1026.58,3.58,2.34,3.55,63.82,64.04,91.38,5.38,-2.59,-0.8,7.84,2.5,2016010814,3739
-0.32,1027.35,3.29,1.98,3.28,57.41,59.42,80.93,5.72,-3.56,-0.28,6.82,1.42,2016010817,3843
-1.8,1028.53,2.66,1.34,3.24,50.07,33.74,80.85,4.4,-1.61,-0.39,3.47,1.71,2016010820,2993
-2.7,1028.88,2.26,1.17,3.16,45.01,28.38,80.56,3.75,-1.21,-0.66,3.49,1.05,2016010823,2499
-2.02,1028.06,2.59,1.21,3.01,53.82,28.13,76.88,3.44,-0.5,-0.65,3.79,0.93,2016010902,1943
-1.11,1027.6,2.91,1.24,2.76,61.5,28.5,67.13,3.23,-0.37,0.04,2.9,0.62,2016010905,1278
0.85,1028.6,3.13,1.36,2.89,68.91,30.13,70.88,2.61,0.2,0.04,2.27,0.88,2016010908,970
-0.23,1028.19,3.22,1.35,2.49,57,28.25,55.38,5.43,1.22,1.25,8.17,1.91,2016010911,2605
0.83,1024.58,3.43,1.38,3.12,50.11,25.63,63.67,8.33,2.63,2.44,10.43,1.96,2016010914,3856
1.79,1024.85,3.79,1.43,3.17,56.3,26,59.72,8.05,2.96,3.67,8.43,2.69,2016010917,3375
2.67,1025.68,4.05,2.25,3.05,68.88,45,55.18,6.13,1.45,4.14,6.62,2.11,2016010920,2780
3.45,1025.43,4.28,3.97,3.27,73.63,77.19,57.88,5.99,1.96,4.32,6.8,1.2,2016010923,2386
4.34,1025.34,4.53,4.68,4.12,78,90.75,76.5,5.88,1.96,3.69,6.76,0.68,2016011002,966
4.84,1024.16,4.75,5.18,4.42,82.25,97.5,77,5.85,2.36,4.65,6.73,0.76,2016011005,896
5.46,1024.86,5.04,5.28,4.8,89.13,99.13,83.88,5.53,2.39,4.51,6.62,0.95,2016011008,1171
6.06,1025.09,5.51,5.44,5.07,92.88,99.63,87.13,6.19,2.75,4.78,8.05,1.24,2016011011,970
6.84,1022.1,5.84,5.75,5.28,89.63,99.38,89.38,7.56,3.56,5.03,9.24,1.71,2016011014,541
7.97,1022.95,6.21,5.82,5.68,90.63,99.5,98.13,8.32,3.7,4.74,9.33,1.45,2016011017,377
7.74,1023.26,6.23,5.78,5.78,93.88,98.5,98.69,7.9,3.77,4.95,8.63,2.02,2016011020,348
7.59,1023.39,6.25,5.51,5.78,96.13,97.75,99.75,7.6,3.13,4.73,8.43,2.29,2016011023,1278
7.05,1023.45,6.09,5.53,5.65,96,99.38,100,7.21,3,4.37,8.14,3.78,2016011102,2013
5.98,1022.78,5.59,5.23,5.02,93.38,99.13,99.25,6.32,2.19,2.8,7.25,3.55,2016011105,2514
6.08,1023.91,5.59,4.86,4.92,95,99.25,100,6.08,1.14,2.43,7.19,4.03,2016011108,1583
5.82,1024.9,5.36,4.5,4.55,93.75,99.88,100,5.68,0.05,1.36,7.2,3.66,2016011111,2303
5.55,1023.12,5.32,4.11,4.33,91.63,100,100,5.92,-1.22,0.65,7.4,3.76,2016011114,1056
4.82,1025.27,5.01,3.59,4.18,87.38,99.13,99.75,5.69,-2.88,0.2,6.81,4.07,2016011117,2224
3.7,1027.14,4.56,3.52,3.94,88,96.25,99.13,4.26,-2.7,-0.5,5.52,3.95,2016011120,2014
3.54,1028.42,4.6,3.39,3.88,97.25,96.38,99.38,2.96,-3.2,-0.7,4.75,4.31,2016011123,2717
2.65,1028.67,4.3,3.28,3.52,94.75,98.25,99.5,2.41,-3.84,-2.04,4.15,3.99,2016011202,4073
1.47,1029.04,3.95,3.22,3.12,93.25,97.25,93,1.49,-3.97,-2.72,3.31,3.45,2016011205,3393
1.48,1030.14,3.95,3.28,3.14,90.74,99.08,90.38,1.79,-3.92,-2.28,4.04,3.51,2016011208,7101
0.44,1030.5,3.62,3.14,3.2,80.75,97.13,97,2.24,-4.21,-2.93,4.83,3.8,2016011211,5322
-0.14,1028.04,3.53,2.92,3.28,76.5,91,98.63,2.64,-4.36,-2.86,4.98,3.34,2016011214,5029
-1.14,1028.31,3.4,2.79,3.14,74.88,91.25,96.25,2.38,-4.93,-3.1,4.23,3.13,2016011217,3758
-0.97,1029.55,3.35,2.75,2.93,81.38,88.75,89.13,1.05,-4.72,-3.06,2.7,2.35,2016011220,3605
-0.73,1029.86,3.28,2.65,2.92,81.24,87.68,92.12,0.78,-4.99,-3.42,2.22,1.61,2016011223,3161
-1.24,1029.25,3.19,2.49,2.78,81.3,81.2,88.26,0.36,-4.79,-3.53,1.24,1.94,2016011302,2814
-2.3,1028.84,2.89,2.32,2.63,79.46,74.26,89,-0.65,-4.66,-4.23,-0.6,1.6,2016011305,3556
-2.22,1029.92,2.87,2.23,2.73,78.42,71.88,92.57,-0.63,-4.73,-4.28,0.71,1.4,2016011308,4744
-1.74,1029.2,3.06,2.04,2.89,72.69,60.61,98.47,1.35,-3.62,-4.34,4.13,2.46,2016011311,4434
-1.13,1026.22,3.22,2.15,3.18,66.38,65.25,95.38,3.35,-3.84,-2.76,5.47,1.66,2016011314,4220
-1.37,1026.4,3.22,2.28,3.19,63.13,67.75,88.5,4.15,-3.69,-1.78,5.5,1.16,2016011317,4290
-1.23,1027.53,3.15,1.88,3.2,73.13,51.41,90.61,1.71,-2.75,-1.99,2.08,1.71,2016011320,3743
-1.82,1027.69,3.05,1.36,3.28,76.48,36.38,90.56,0.7,-2.32,-1.57,0.66,1.58,2016011323,3155
-1.37,1026.96,3.01,0.88,3.15,77.89,23.36,85.89,0.34,-2.25,-1.42,1.23,0.92,2016011402,3326
-1.2,1026.73,2.99,0.64,2.68,78.61,17.31,74.91,0.14,-2.49,-1.9,0.76,0.52,2016011405,2455
-0.38,1027.54,3.04,0.61,2.18,79.74,16.13,62.14,0.14,-2.18,-2.07,0.4,0.48,2016011408,1691
-0.66,1026.92,3.15,0.94,1.84,67.86,23.9,50.74,2.82,-1.77,-1.53,5.4,0.35,2016011411,4033
-0.77,1022.98,3.13,1.52,2.84,54.02,37.38,68.85,5.89,-1.08,-0.13,7.88,0.35,2016011414,4201
